id,name,prefecture,areaCodes,holeCount,parOut,parIn,parTotal,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
C000979,南宗谷ゴルフ場,,1,,,,,,,,,,,,,,,,,,,,,,
C005202,レンブラントゴルフ倶楽部札幌（旧：ダイナスティゴルフクラブ有明）,,1,,,,,,,,,,,,,,,,,,,,,,
C000838,旭川ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000933,十勝カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000938,知床ゴルフクラブ　なかしべつコース (閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000950,函館よこつゴルフコース(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000961,深川カントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000858,帯広リバーサイドゴルフ場(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000983,ユニオンジャックカントリークラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000956,エバーグリーンゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000898,札幌ベイゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000939,名寄白樺カントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000853,小樽ジサンゴルフ倶楽部(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000244,登別温泉ゴルフクラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000937,アラン・チャールズゴルフアンドリゾート函館(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000854,小樽カントリー倶楽部　新コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000867,レラゴルフクラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000955,羽幌オロロンカントリークラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000250,網走カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C005205,アリスト本別ゴルフ倶楽部(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000882,イアン・コリーナ・デ・ルナゴルフコース(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000863,イアン滝川ゴルフ倶楽部(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000999,ウィンザープリマドンナハイパーゴルフランチ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000241,恵庭ゴルフ場　恵南コース(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000957,エムアール茨戸カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000240,遠軽ロックバレーゴルフコース(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000865,上湧別リバーサイドゴルフ場,,1,,,,,,,,,,,,,,,,,,,,,,
C000866,北見カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000931,クレインカントリークラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000243,札幌ガーデンヒルズしらかばゴルフコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000891,札幌ゴルフ倶楽部　輪厚コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000885,札幌セントラルゴルフクラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000899,札幌リッチヒルカントリークラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000239,ステイタス新函館ゴルフクラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000242,根室ゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000245,東苫小牧カントリークラブ　厚真コース(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000958,日高国際カントリークラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000962,富良野プリンスホテルゴルフコース（閉鎖）,,1,,,,,,,,,,,,,,,,,,,,,,
C005206,北海道ロイヤルゴルフ倶楽部あつまコース(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000981,メイフラワーゴルフクラブ　札幌（閉鎖）,,1,,,,,,,,,,,,,,,,,,,,,,
C000982,紋別カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000253,留萌カントリークラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C001697,みちのく国際ゴルフ倶楽部,,2,,,,,,,,,,,,,,,,,,,,,,
C001688,青森スプリング・ゴルフクラブ,,2,,,,,,,,,,,,,,,,,,,,,,
C001693,夏泊ゴルフリンクス,,2,,,,,,,,,,,,,,,,,,,,,,
C001690,津軽高原ゴルフ場,,2,,,,,,,,,,,,,,,,,,,,,,
C001695,十和田湖高原ゴルフクラブ,,2,,,,,,,,,,,,,,,,,,,,,,
