region,course_title,layout_title,course_code,layout_kind,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,ref_url
北海道,セント旭川GC,セント旭川ゴルフ倶楽部,C000211,out+in,5,4,4,3,4,5,4,3,4,5,4,3,4,4,5,3,4,4,
北海道,空知川ﾗﾍﾞﾝﾀﾞｰ北,空知川ラベンダーの森ゴルフコース北,C000193,out+in,4,4,5,3,5,4,4,4,4,4,3,5,3,5,4,3,4,4,
北海道,空知川ﾗﾍﾞﾝﾀﾞｰ南,空知川ラベンダーの森ゴルフコース南,C000194,all,5,3,4,4,3,4,4,4,3,,,,,,,,,,
北海道,大雪山CC西,大雪山カントリークラブ西,C000106,out+in,4,3,5,4,4,5,4,3,4,5,4,3,4,5,4,4,3,4,
北海道,大雪山CC東,大雪山カントリークラブ東,C000105,out+in,4,3,4,4,5,4,4,3,5,4,3,5,4,4,5,3,4,4,
北海道,ﾀﾞｲﾅｽﾃｨGC有明,ダイナスティゴルフクラブ有明,C000081,out+in,4,4,4,3,4,5,3,4,5,5,4,3,4,4,4,3,4,5,
北海道,ﾀﾞｲﾅｽﾃｨ北広島ｱｶｼ,ダイナスティゴルフクラブ北広島あかしや,C000076,all,4,4,5,4,5,3,4,3,5,,,,,,,,,,
北海道,ﾀﾞｲﾅｽﾃｨ北広島ｼﾗｶ,ダイナスティゴルフクラブ北広島しらかば,C000074,all,5,3,4,5,3,4,4,4,4,,,,,,,,,,
北海道,ﾀﾞｲﾅｽﾃｨ北広島ﾗｲﾗ,ダイナスティゴルフクラブ北広島らいらっく,C000075,all,4,3,5,4,3,4,4,4,5,,,,,,,,,,
北海道,太平洋C札幌ｽｽﾞﾗﾝ,太平洋クラブ札幌コースすずらん,C000157,all,5,4,4,5,3,4,4,3,4,,,,,,,,,,
北海道,太平洋C札幌ﾊﾏﾅｽ,太平洋クラブ札幌コースはまなす,C000158,all,5,4,3,4,5,4,3,4,4,,,,,,,,,,
