id,name,prefecture,areaCodes,holeCount,parOut,parIn,parTotal,parSource,parTeeName,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
C000240,遠軽ロックバレーゴルフコース(閉鎖),,1,9,,,50,,,,,,,,,,,,,,,,,,,,
C000865,上湧別リバーサイドゴルフ場,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000866,北見カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000931,クレインカントリークラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000243,札幌ガーデンヒルズしらかばゴルフコース,,1,9,,,70,,,,,,,,,,,,,,,,,,,,
C000891,札幌ゴルフ倶楽部　輪厚コース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000885,札幌セントラルゴルフクラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000899,札幌リッチヒルカントリークラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000239,ステイタス新函館ゴルフクラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000242,根室ゴルフクラブ,,1,9,,,50,,,,,,,,,,,,,,,,,,,,
C000245,東苫小牧カントリークラブ　厚真コース(閉鎖),,1,9,,,50,,,,,,,,,,,,,,,,,,,,
C000958,日高国際カントリークラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000962,富良野プリンスホテルゴルフコース（閉鎖）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
